,# Carbons,"# Carbons, sp3",Fraction C sp3,# non-H atoms,"Heteroatoms (non H, nonC)",# ONS atoms,# Ns,# Aromatic Rings,# H-bond Acceptors,# H-bond Donors,cLogP,TPSA,Rotatable bonds,"MW, high >250 ","MW, mid","MW, low >200","Nitrogens, High (>=4)","Nitrogens, Mid (2 to 3)","Nitrogens, low (<=1)",H-Bond Donors (>=2),H-Bond Donors (1),H-Bond Donors (0),H-Bond Acceptors (>=4),H-Bond Acceptors (1 to 3),H-Bond Acceptors (0),clogP low,clogP mid,clogP high,TPSA low,TPSA mid,TPSA high,Hinderance,"Hinderance, binding","Hinderance, non binding",5 MR Heterocycles,6 MR Heterocycles,Alcohols,Aldehydes,Alkenes,Alkynes,Amides (all),Anilines (all),Carbamates,Carboxylic acids,Esters,Guanidines,Imides,Ketones,Nitriles,Nitro groups,Phenols,Sulfides,Sulfonamides,Sulfones,Tertiary amines,Ureas,Total FG,Amides- NH2,Amides- NHR,Anilines- NHR,Remote 6 MR Heterocycles (Br only),2-pyridyl-type 6 MR heterocycles (Br only),3/4-pyridyl-type 6 MR heterocycles (Br only),"N-O, N-S Bond",5 MR NH Heterocycles,5 MR NH Heterocycles 1N,5 MR NH Heterocycles >1N,5MR NX Heterocycles,5MR Heterocycles no NH,Piperidines (amines),Piperazines  (amines),Morpholines (amines),3-substituted (amines),4-Substituted (amines),Bridged Bicyclic (amines),Piperazines N-Alkyl ,Piperazines N-Carbonyl ,Piperazines N-Het ,Piperazines N-Aryl,MALDI Product Intensity,MALDI Internal Standard Intensity,Normalized MALDI Pdt/IS,Cu_cat,Ir_cat,Pd_cat,Ru_cat
31,6,1,0.17,9,3,2,1,1,2,0,2.37,22.12,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949595.9,812501.4,1.168731401570508,1.0,0.0,0.0,0.0
32,6,1,0.17,9,3,2,1,1,2,0,2.37,22.12,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15044.0,421000.7,0.035733907330795414,1.0,0.0,0.0,0.0
33,6,1,0.17,9,3,2,1,1,2,0,2.37,22.12,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28092.6,272420.6,0.10312215742862324,1.0,0.0,0.0,0.0
34,6,1,0.17,9,3,2,1,1,2,0,2.14,22.12,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11597.4,521406.8,0.02224251774238464,1.0,0.0,0.0,0.0
35,5,1,0.2,9,4,3,3,1,3,1,1.41,37.81,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9356.8,657643.3,0.014227773627436026,1.0,0.0,0.0,0.0
36,3,0,0.0,9,6,5,3,1,3,1,1.21,74.5,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1994.8,710555.5,0.002807380985721735,1.0,0.0,0.0,0.0
37,7,0,0.0,10,3,2,2,2,1,1,2.12,28.68,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77099.5,136798.3,0.5635998400564921,1.0,0.0,0.0,0.0
38,7,0,0.0,10,3,2,1,2,1,0,2.15,26.03,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7475.3,746178.8,0.010018108260379415,1.0,0.0,0.0,0.0
39,6,0,0.0,10,4,3,3,2,2,0,2.02,30.19,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140209.1,800735.1,0.1751004795468564,1.0,0.0,0.0,0.0
40,6,0,0.0,10,4,3,2,2,2,0,1.54,38.92,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1648.6,572458.5,0.0028798594133897914,1.0,0.0,0.0,0.0
41,5,0,0.0,10,5,4,4,2,3,0,0.22,43.08,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,823740.4,767167.1,1.0737431258457253,1.0,0.0,0.0,0.0
42,7,2,0.29,10,3,2,1,1,2,1,0.86,33.12,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460753.2,905816.7,0.5086605270139092,1.0,0.0,0.0,0.0
43,6,1,0.17,10,4,3,2,1,1,2,1.06,44.89,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4409.4,678007.9,0.006503464045182953,1.0,0.0,0.0,0.0
44,6,1,0.17,10,4,3,1,1,2,1,2.07,42.09,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34172.3,831995.4,0.04107270304619473,1.0,0.0,0.0,0.0
45,5,1,0.2,10,5,4,2,1,3,1,1.12,54.98,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9027.1,545160.8,0.0165586006917592,1.0,0.0,0.0,0.0
46,5,1,0.2,10,5,4,2,1,3,1,0.19,54.98,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20935.4,922526.4,0.02269355110054303,1.0,0.0,0.0,0.0
47,6,1,0.17,9,3,2,0,1,1,0,2.27,17.07,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149425.0,380598.5,0.3926053308144935,1.0,0.0,0.0,0.0
48,4,1,0.25,10,6,5,3,1,4,1,0.21,67.87,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2462.3,567077.4,0.0043420880465347405,1.0,0.0,0.0,0.0
49,9,0,0.0,11,2,1,1,2,1,0,2.77,12.89,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567358.1,394991.8,1.4363794387630324,1.0,0.0,0.0,0.0
50,9,0,0.0,11,2,1,1,2,1,0,2.77,12.89,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15280.2,589610.0,0.025915774834212448,1.0,0.0,0.0,0.0
51,9,0,0.0,11,2,1,1,2,1,0,2.77,12.89,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643782.3,777514.7,0.8280001651415724,1.0,0.0,0.0,0.0
